match_id,team,team_id,final_third_passes,field_tilt
3788741,Turkey,909,38,23.75
3788741,Italy,914,122,76.25
3788742,Denmark,776,228,61.96
3788742,Finland,1835,140,38.04
3788743,Belgium,782,108,46.15
3788743,Russia,796,126,53.85
3788744,Switzerland,773,137,65.24
3788744,Wales,907,73,34.76
3788745,England,768,78,37.32
3788745,Croatia,785,131,62.68
3788746,Ukraine,911,174,43.5
3788746,Netherlands,941,226,56.5
3788747,Austria,915,156,57.35
3788747,North Macedonia,2358,116,42.65
3788748,Czech Republic,912,110,49.55
3788748,Scotland,942,112,50.45
3788749,Poland,789,190,52.05
3788749,Slovakia,908,175,47.95
3788750,Spain,772,322,78.73
3788750,Sweden,790,87,21.27
3788751,Germany,770,142,66.36
3788751,France,771,72,33.64
3788752,Portugal,780,99,77.34
3788752,Hungary,916,29,22.66
3788753,Russia,796,91,45.05
3788753,Finland,1835,111,54.95
3788754,Switzerland,773,161,56.49
3788754,Italy,914,124,43.51
3788755,Wales,907,96,41.38
3788755,Turkey,909,136,58.62
3788756,Austria,915,125,62.19
3788756,Netherlands,941,76,37.81
3788757,Denmark,776,120,38.34
3788757,Belgium,782,193,61.66
3788758,Ukraine,911,107,44.4
3788758,North Macedonia,2358,134,55.6
3788759,England,768,136,56.67
3788759,Scotland,942,104,43.33
3788760,Croatia,785,92,42.2
3788760,Czech Republic,912,126,57.8
3788761,Sweden,790,121,35.17
3788761,Slovakia,908,223,64.83
3788762,Spain,772,264,76.74
3788762,Poland,789,80,23.26
3788763,France,771,78,72.22
3788763,Hungary,916,30,27.78
3788764,Germany,770,115,56.65
3788764,Portugal,780,88,43.35
3788765,Switzerland,773,140,54.05
3788765,Turkey,909,119,45.95
3788766,Wales,907,127,45.04
3788766,Italy,914,155,54.96
3788767,Ukraine,911,99,45.83
3788767,Austria,915,117,54.17
3788768,Belgium,782,86,56.95
3788768,Finland,1835,65,43.05
3788769,Denmark,776,134,69.43
3788769,Russia,796,59,30.57
3788770,Netherlands,941,124,56.36
3788770,North Macedonia,2358,96,43.64
3788771,Croatia,785,144,62.07
3788771,Scotland,942,88,37.93
3788772,England,768,184,66.43
3788772,Czech Republic,912,93,33.57
3788773,France,771,129,64.5
3788773,Portugal,780,71,35.5
3788774,Germany,770,248,66.49
3788774,Hungary,916,125,33.51
3788775,Spain,772,119,85.61
3788775,Slovakia,908,20,14.39
3788776,Poland,789,114,59.69
3788776,Sweden,790,77,40.31
3794685,Italy,914,203,49.03
3794685,Austria,915,211,50.97
3794686,Spain,772,192,71.64
3794686,Croatia,785,76,28.36
3794687,Portugal,780,126,63.96
3794687,Belgium,782,71,36.04
3794688,England,768,94,31.54
3794688,Germany,770,204,68.46
3794689,Denmark,776,128,59.26
3794689,Wales,907,88,40.74
3794690,Czech Republic,912,106,50.48
3794690,Netherlands,941,104,49.52
3794691,France,771,169,54.69
3794691,Switzerland,773,140,45.31
3794692,Sweden,790,161,47.08
3794692,Ukraine,911,181,52.92
3795107,Belgium,782,106,52.48
3795107,Italy,914,96,47.52
3795108,Spain,772,163,71.81
3795108,Switzerland,773,64,28.19
3795109,Denmark,776,115,46.0
3795109,Czech Republic,912,135,54.0
3795187,England,768,100,52.63
3795187,Ukraine,911,90,47.37
3795220,Spain,772,210,76.64
3795220,Italy,914,64,23.36
3795221,England,768,236,59.9
3795221,Denmark,776,158,40.1
3795506,England,768,155,45.06
3795506,Italy,914,189,54.94
