team,field_tilt
Spain,76.86166666666666
Germany,64.49
France,56.2625
Austria,56.17
Portugal,55.0375
Denmark,52.51500000000001
Belgium,50.656
Netherlands,50.0475
Italy,49.93857142857143
England,49.93571428571429
Switzerland,49.856
Czech Republic,49.08
Croatia,48.8275
North Macedonia,47.29666666666666
Ukraine,46.803999999999995
Finland,45.346666666666664
Poland,45.0
Scotland,43.903333333333336
Russia,43.156666666666666
Turkey,42.77333333333333
Slovakia,42.39
Wales,40.480000000000004
Sweden,35.957499999999996
Hungary,27.983333333333334
