match_id,team,team_id,passes_opponent,def_actions,PPDA
3788741,Turkey,909,669,277,2.42
3788741,Italy,914,390,203,1.92
3788742,Denmark,776,307,156,1.97
3788742,Finland,1835,678,298,2.28
3788743,Belgium,782,401,136,2.95
3788743,Russia,796,763,235,3.25
3788744,Switzerland,773,329,129,2.55
3788744,Wales,907,563,172,3.27
3788745,England,768,483,233,2.07
3788745,Croatia,785,470,199,2.36
3788746,Ukraine,911,705,225,3.13
3788746,Netherlands,941,449,199,2.26
3788747,Austria,915,351,216,1.62
3788747,North Macedonia,2358,605,214,2.83
3788748,Czech Republic,912,503,296,1.7
3788748,Scotland,942,386,236,1.64
3788749,Poland,789,432,220,1.96
3788749,Slovakia,908,590,287,2.06
3788750,Spain,772,173,90,1.92
3788750,Sweden,790,946,192,4.93
3788751,Germany,770,463,178,2.6
3788751,France,771,733,232,3.16
3788752,Portugal,780,324,199,1.63
3788752,Hungary,916,713,243,2.93
3788753,Russia,796,423,210,2.01
3788753,Finland,1835,615,257,2.39
3788754,Switzerland,773,554,220,2.52
3788754,Italy,914,563,200,2.82
3788755,Wales,907,559,213,2.62
3788755,Turkey,909,344,207,1.66
3788756,Austria,915,500,194,2.58
3788756,Netherlands,941,542,256,2.12
3788757,Denmark,776,602,177,3.4
3788757,Belgium,782,519,179,2.9
3788758,Ukraine,911,440,211,2.09
3788758,North Macedonia,2358,485,169,2.87
3788759,England,768,383,159,2.41
3788759,Scotland,942,580,225,2.58
3788760,Croatia,785,469,271,1.73
3788760,Czech Republic,912,465,166,2.8
3788761,Sweden,790,631,168,3.76
3788761,Slovakia,908,464,226,2.05
3788762,Spain,772,242,189,1.28
3788762,Poland,789,754,314,2.4
3788763,France,771,369,129,2.86
3788763,Hungary,916,681,183,3.72
3788764,Germany,770,442,175,2.53
3788764,Portugal,780,596,170,3.51
3788765,Switzerland,773,510,215,2.37
3788765,Turkey,909,516,254,2.03
3788766,Wales,907,629,175,3.59
3788766,Italy,914,274,111,2.47
3788767,Ukraine,911,507,199,2.55
3788767,Austria,915,499,216,2.31
3788768,Belgium,782,460,182,2.53
3788768,Finland,1835,714,199,3.59
3788769,Denmark,776,289,126,2.29
3788769,Russia,796,542,173,3.13
3788770,Netherlands,941,439,225,1.95
3788770,North Macedonia,2358,619,171,3.62
3788771,Croatia,785,353,189,1.87
3788771,Scotland,942,671,263,2.55
3788772,England,768,430,200,2.15
3788772,Czech Republic,912,554,253,2.19
3788773,France,771,556,146,3.81
3788773,Portugal,780,617,147,4.2
3788774,Germany,770,255,147,1.73
3788774,Hungary,916,783,171,4.58
3788775,Spain,772,368,150,2.45
3788775,Slovakia,908,702,232,3.03
3788776,Poland,789,278,159,1.75
3788776,Sweden,790,557,196,2.84
3794685,Italy,914,660,281,2.35
3794685,Austria,915,704,329,2.14
3794686,Spain,772,482,242,1.99
3794686,Croatia,785,930,297,3.13
3794687,Portugal,780,471,144,3.27
3794687,Belgium,782,630,143,4.41
3794688,England,768,558,174,3.21
3794688,Germany,770,476,163,2.92
3794689,Denmark,776,420,124,3.39
3794689,Wales,907,465,190,2.45
3794690,Czech Republic,912,440,167,2.63
3794690,Netherlands,941,415,175,2.37
3794691,France,771,568,254,2.24
3794691,Switzerland,773,678,318,2.13
3794692,Sweden,790,792,179,4.42
3794692,Ukraine,911,685,200,3.42
3795107,Belgium,782,546,131,4.17
3795107,Italy,914,482,156,3.09
3795108,Spain,772,400,167,2.4
3795108,Switzerland,773,1031,277,3.72
3795109,Denmark,776,508,207,2.45
3795109,Czech Republic,912,398,144,2.76
3795187,England,768,600,233,2.58
3795187,Ukraine,911,648,191,3.39
3795220,Spain,772,425,270,1.57
3795220,Italy,914,946,236,4.01
3795221,England,768,557,192,2.9
3795221,Denmark,776,784,260,3.02
3795506,England,768,885,278,3.18
3795506,Italy,914,465,219,2.12
